
11;;
111;0.013760;
211;0.030771;
311;0.096979;
411;;
511;;
611;0.688139;
711;0.823635;
811;1.356404;
911;1.583245;
1011;2.371841;
1111;3.033448;
1211;3.846488;
1311;6.158582;
1411;5.831845;
1511;;
1611;10.400902;
1711;10.633000;
1811;15.286102;
1911;14.359045;
2011;17.758982;
2111;21.554900;
2211;27.898329;
2311;24.404670;
2411;33.314964;
